"Index","rank1","rank2","rank3","rank4","rank5","rank6","rank7"
"SP40","CRAIG JENSEN","skipped","skipped","skipped","skipped","skipped","skipped"
"SP41","MICHAEL SNELSON","CRAIG JENSEN","DALE WATSON","AMANDA MILLER","CRAIG CONOVER","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP"
"SP42","MICHAEL SNELSON","DALE WATSON","XIMENA M. BISHOP","CRAIG CONOVER","CRAIG JENSEN","MARCIA CONOVER-HARRIS","AMANDA MILLER"
"SP43","AMANDA MILLER","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","CRAIG JENSEN","DALE WATSON","CRAIG CONOVER","XIMENA M. BISHOP"
"SP44","XIMENA M. BISHOP","AMANDA MILLER","MARCIA CONOVER-HARRIS","CRAIG CONOVER","CRAIG JENSEN","MICHAEL SNELSON","DALE WATSON"
"SP45","MICHAEL SNELSON","CRAIG CONOVER","CRAIG JENSEN","MARCIA CONOVER-HARRIS","skipped","skipped","skipped"
"SP46","CRAIG CONOVER","CRAIG JENSEN","MICHAEL SNELSON","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","DALE WATSON","AMANDA MILLER"
"SP47","overvote","skipped","skipped","skipped","skipped","skipped","skipped"
"SP48","CRAIG CONOVER","MICHAEL SNELSON","CRAIG JENSEN","skipped","skipped","skipped","skipped"
"SP49","MICHAEL SNELSON","skipped","skipped","skipped","skipped","skipped","skipped"
"SP50","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","CRAIG JENSEN","MICHAEL SNELSON","AMANDA MILLER","DALE WATSON","CRAIG CONOVER"
"SP51","XIMENA M. BISHOP","CRAIG JENSEN","CRAIG CONOVER","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","DALE WATSON","AMANDA MILLER"
"SP52","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
