"Index","rank1","rank2","rank3","rank4","rank5","rank6","rank7"
"SP1425","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","AMANDA MILLER","CRAIG CONOVER","CRAIG JENSEN","DALE WATSON","XIMENA M. BISHOP"
"SP1426","MICHAEL SNELSON","XIMENA M. BISHOP","CRAIG JENSEN","CRAIG CONOVER","MARCIA CONOVER-HARRIS","skipped","skipped"
"SP1427","CRAIG CONOVER","XIMENA M. BISHOP","AMANDA MILLER","MARCIA CONOVER-HARRIS","CRAIG JENSEN","MICHAEL SNELSON","DALE WATSON"
"SP1428","MICHAEL SNELSON","CRAIG CONOVER","AMANDA MILLER","CRAIG JENSEN","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","DALE WATSON"
"SP1429","MICHAEL SNELSON","AMANDA MILLER","CRAIG JENSEN","CRAIG CONOVER","DALE WATSON","AMANDA MILLER","XIMENA M. BISHOP"
"SP1430","CRAIG CONOVER","skipped","skipped","skipped","skipped","skipped","skipped"
"SP1431","AMANDA MILLER","MARCIA CONOVER-HARRIS","CRAIG CONOVER","CRAIG JENSEN","MICHAEL SNELSON","XIMENA M. BISHOP","DALE WATSON"
"SP1432","MICHAEL SNELSON","AMANDA MILLER","DALE WATSON","CRAIG CONOVER","MARCIA CONOVER-HARRIS","CRAIG JENSEN","XIMENA M. BISHOP"
"SP1433","AMANDA MILLER","CRAIG CONOVER","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","CRAIG JENSEN","DALE WATSON"
"SP1434","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","AMANDA MILLER","DALE WATSON","CRAIG JENSEN","CRAIG CONOVER","XIMENA M. BISHOP"
"SP1435","DALE WATSON","MICHAEL SNELSON","CRAIG CONOVER","CRAIG JENSEN","MARCIA CONOVER-HARRIS","AMANDA MILLER","XIMENA M. BISHOP"
"SP1436","CRAIG CONOVER","CRAIG JENSEN","AMANDA MILLER","XIMENA M. BISHOP","DALE WATSON","MARCIA CONOVER-HARRIS","MICHAEL SNELSON"
"SP1437","MARCIA CONOVER-HARRIS","CRAIG JENSEN","XIMENA M. BISHOP","DALE WATSON","MICHAEL SNELSON","CRAIG CONOVER","AMANDA MILLER"
"SP1438","XIMENA M. BISHOP","MICHAEL SNELSON","CRAIG JENSEN","skipped","skipped","skipped","skipped"
"SP1439","MICHAEL SNELSON","XIMENA M. BISHOP","CRAIG JENSEN","DALE WATSON","skipped","skipped","skipped"
"SP1440","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","CRAIG CONOVER","CRAIG JENSEN","MICHAEL SNELSON","DALE WATSON","AMANDA MILLER"
"SP1441","XIMENA M. BISHOP","MICHAEL SNELSON","skipped","skipped","skipped","skipped","skipped"
"SP1442","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","AMANDA MILLER","CRAIG CONOVER","MICHAEL SNELSON","CRAIG JENSEN","DALE WATSON"
"SP1443","CRAIG CONOVER","CRAIG JENSEN","MARCIA CONOVER-HARRIS","skipped","skipped","skipped","skipped"
"SP1444","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","CRAIG JENSEN","CRAIG CONOVER","DALE WATSON","AMANDA MILLER"
"SP1445","MICHAEL SNELSON","XIMENA M. BISHOP","DALE WATSON","CRAIG JENSEN","CRAIG CONOVER","MARCIA CONOVER-HARRIS","AMANDA MILLER"
"SP1446","MICHAEL SNELSON","CRAIG CONOVER","CRAIG JENSEN","MARCIA CONOVER-HARRIS","AMANDA MILLER","XIMENA M. BISHOP","DALE WATSON"
"SP1447","MARCIA CONOVER-HARRIS","DALE WATSON","CRAIG JENSEN","CRAIG CONOVER","AMANDA MILLER","MICHAEL SNELSON","XIMENA M. BISHOP"
"SP1448","AMANDA MILLER","CRAIG CONOVER","XIMENA M. BISHOP","DALE WATSON","MICHAEL SNELSON","CRAIG JENSEN","MARCIA CONOVER-HARRIS"
"SP1449","DALE WATSON","CRAIG CONOVER","AMANDA MILLER","MICHAEL SNELSON","CRAIG JENSEN","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS"
"SP1450","MICHAEL SNELSON","CRAIG CONOVER","DALE WATSON","CRAIG JENSEN","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","AMANDA MILLER"
"SP1451","MARCIA CONOVER-HARRIS","CRAIG CONOVER","MICHAEL SNELSON","CRAIG JENSEN","DALE WATSON","XIMENA M. BISHOP","AMANDA MILLER"
"SP1452","DALE WATSON","CRAIG CONOVER","skipped","skipped","skipped","skipped","skipped"
"SP1453","MICHAEL SNELSON","CRAIG JENSEN","CRAIG CONOVER","DALE WATSON","XIMENA M. BISHOP","AMANDA MILLER","MARCIA CONOVER-HARRIS"
"SP1454","XIMENA M. BISHOP","CRAIG JENSEN","MARCIA CONOVER-HARRIS","CRAIG CONOVER","MICHAEL SNELSON","AMANDA MILLER","DALE WATSON"
"SP1455","MICHAEL SNELSON","CRAIG JENSEN","CRAIG CONOVER","MARCIA CONOVER-HARRIS","AMANDA MILLER","DALE WATSON","DALE WATSON"
"SP1456","CRAIG JENSEN","MICHAEL SNELSON","CRAIG CONOVER","skipped","skipped","skipped","skipped"
"SP1457","CRAIG CONOVER","MARCIA CONOVER-HARRIS","CRAIG CONOVER","CRAIG CONOVER","MARCIA CONOVER-HARRIS","CRAIG CONOVER","CRAIG CONOVER"
"SP1458","CRAIG JENSEN","CRAIG CONOVER","MICHAEL SNELSON","skipped","skipped","skipped","skipped"
"SP1459","CRAIG CONOVER","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","CRAIG JENSEN","DALE WATSON","AMANDA MILLER","MICHAEL SNELSON"
"SP1460","CRAIG CONOVER","AMANDA MILLER","MICHAEL SNELSON","CRAIG JENSEN","MARCIA CONOVER-HARRIS","DALE WATSON","XIMENA M. BISHOP"
"SP1461","MICHAEL SNELSON","DALE WATSON","CRAIG JENSEN","CRAIG CONOVER","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","AMANDA MILLER"
"SP1462","CRAIG CONOVER","AMANDA MILLER","MICHAEL SNELSON","CRAIG JENSEN","MARCIA CONOVER-HARRIS","DALE WATSON","XIMENA M. BISHOP"
"SP1463","MICHAEL SNELSON","CRAIG JENSEN","CRAIG CONOVER","MARCIA CONOVER-HARRIS","AMANDA MILLER","XIMENA M. BISHOP","DALE WATSON"
"SP1464","MICHAEL SNELSON","DALE WATSON","XIMENA M. BISHOP","CRAIG CONOVER","AMANDA MILLER","CRAIG JENSEN","MARCIA CONOVER-HARRIS"
"SP1465","MICHAEL SNELSON","CRAIG JENSEN","AMANDA MILLER","DALE WATSON","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","CRAIG CONOVER"
"SP1466","AMANDA MILLER","skipped","skipped","skipped","skipped","skipped","skipped"
"SP1467","CRAIG CONOVER","MARCIA CONOVER-HARRIS","DALE WATSON","MICHAEL SNELSON","CRAIG JENSEN","AMANDA MILLER","XIMENA M. BISHOP"
"SP1468","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","DALE WATSON","CRAIG JENSEN","MICHAEL SNELSON","CRAIG CONOVER","AMANDA MILLER"
"SP1469","XIMENA M. BISHOP","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","CRAIG CONOVER","CRAIG JENSEN","DALE WATSON","AMANDA MILLER"
"SP1470","MICHAEL SNELSON","DALE WATSON","XIMENA M. BISHOP","CRAIG JENSEN","AMANDA MILLER","CRAIG CONOVER","MARCIA CONOVER-HARRIS"
"SP1471","MICHAEL SNELSON","DALE WATSON","CRAIG CONOVER","XIMENA M. BISHOP","CRAIG JENSEN","AMANDA MILLER","MARCIA CONOVER-HARRIS"
"SP1472","MARCIA CONOVER-HARRIS","CRAIG CONOVER","skipped","skipped","skipped","skipped","skipped"
"SP1473","XIMENA M. BISHOP","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","CRAIG JENSEN","CRAIG CONOVER","AMANDA MILLER","DALE WATSON"
"SP1474","AMANDA MILLER","XIMENA M. BISHOP","CRAIG JENSEN","MICHAEL SNELSON","CRAIG CONOVER","DALE WATSON","MARCIA CONOVER-HARRIS"
"SP1475","DALE WATSON","XIMENA M. BISHOP","CRAIG CONOVER","MARCIA CONOVER-HARRIS","CRAIG JENSEN","MICHAEL SNELSON","AMANDA MILLER"
"SP1476","DALE WATSON","skipped","skipped","skipped","skipped","skipped","skipped"
"SP1477","MICHAEL SNELSON","CRAIG CONOVER","DALE WATSON","CRAIG JENSEN","MARCIA CONOVER-HARRIS","AMANDA MILLER","XIMENA M. BISHOP"
"SP1478","MICHAEL SNELSON","XIMENA M. BISHOP","CRAIG JENSEN","MARCIA CONOVER-HARRIS","DALE WATSON","skipped","skipped"
"SP1479","XIMENA M. BISHOP","DALE WATSON","CRAIG CONOVER","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","CRAIG JENSEN","AMANDA MILLER"
"SP1480","CRAIG CONOVER","MARCIA CONOVER-HARRIS","CRAIG JENSEN","skipped","skipped","skipped","skipped"
"SP1481","CRAIG JENSEN","MARCIA CONOVER-HARRIS","CRAIG CONOVER","XIMENA M. BISHOP","MICHAEL SNELSON","DALE WATSON","AMANDA MILLER"
"SP1482","DALE WATSON","CRAIG CONOVER","XIMENA M. BISHOP","CRAIG JENSEN","AMANDA MILLER","MICHAEL SNELSON","MARCIA CONOVER-HARRIS"
"SP1483","AMANDA MILLER","CRAIG JENSEN","MICHAEL SNELSON","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","CRAIG CONOVER","skipped"
"SP1484","CRAIG JENSEN","MARCIA CONOVER-HARRIS","CRAIG CONOVER","MICHAEL SNELSON","XIMENA M. BISHOP","DALE WATSON","AMANDA MILLER"
"SP1485","XIMENA M. BISHOP","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","AMANDA MILLER","CRAIG JENSEN","DALE WATSON","CRAIG CONOVER"
"SP1486","XIMENA M. BISHOP","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","CRAIG JENSEN","skipped","skipped","skipped"
"SP1487","CRAIG CONOVER","CRAIG JENSEN","MICHAEL SNELSON","DALE WATSON","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","AMANDA MILLER"
"SP1488","MICHAEL SNELSON","AMANDA MILLER","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","CRAIG CONOVER","CRAIG JENSEN","DALE WATSON"
"SP1489","CRAIG JENSEN","MARCIA CONOVER-HARRIS","CRAIG CONOVER","MICHAEL SNELSON","XIMENA M. BISHOP","DALE WATSON","AMANDA MILLER"
"SP1490","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","DALE WATSON","XIMENA M. BISHOP","CRAIG JENSEN","CRAIG CONOVER","AMANDA MILLER"
"SP1491","CRAIG JENSEN","MICHAEL SNELSON","XIMENA M. BISHOP","DALE WATSON","AMANDA MILLER","MARCIA CONOVER-HARRIS","CRAIG CONOVER"
"SP1492","MICHAEL SNELSON","CRAIG JENSEN","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","CRAIG CONOVER","DALE WATSON","skipped"
"SP1493","CRAIG JENSEN","CRAIG CONOVER","MICHAEL SNELSON","DALE WATSON","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","AMANDA MILLER"
"SP1494","DALE WATSON","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","CRAIG CONOVER","AMANDA MILLER","MICHAEL SNELSON","CRAIG JENSEN"
"SP1495","MICHAEL SNELSON","DALE WATSON","CRAIG CONOVER","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","AMANDA MILLER","CRAIG JENSEN"
"SP1496","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"SP1497","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","CRAIG JENSEN","CRAIG CONOVER","MICHAEL SNELSON","AMANDA MILLER","DALE WATSON"
"SP1498","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","skipped","skipped","skipped","skipped","skipped"
"SP1499","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","CRAIG JENSEN","MICHAEL SNELSON","CRAIG CONOVER","DALE WATSON","AMANDA MILLER"
"SP1500","DALE WATSON","XIMENA M. BISHOP","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","CRAIG JENSEN","CRAIG CONOVER","AMANDA MILLER"
"SP1501","CRAIG CONOVER","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","CRAIG JENSEN","AMANDA MILLER","XIMENA M. BISHOP","DALE WATSON"
"SP1502","CRAIG CONOVER","MICHAEL SNELSON","CRAIG JENSEN","AMANDA MILLER","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","DALE WATSON"
"SP1503","AMANDA MILLER","MARCIA CONOVER-HARRIS","CRAIG CONOVER","skipped","skipped","skipped","skipped"
"SP1504","AMANDA MILLER","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","CRAIG CONOVER","CRAIG JENSEN","skipped"
"SP1505","AMANDA MILLER","DALE WATSON","CRAIG JENSEN","skipped","skipped","skipped","skipped"
"SP1506","XIMENA M. BISHOP","CRAIG JENSEN","CRAIG CONOVER","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","DALE WATSON","AMANDA MILLER"
"SP1507","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"SP1508","CRAIG CONOVER","MICHAEL SNELSON","CRAIG JENSEN","DALE WATSON","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","AMANDA MILLER"
"SP1509","CRAIG CONOVER","MICHAEL SNELSON","CRAIG JENSEN","DALE WATSON","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","AMANDA MILLER"
"SP1510","MICHAEL SNELSON","CRAIG JENSEN","CRAIG CONOVER","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","AMANDA MILLER","DALE WATSON"
"SP1511","AMANDA MILLER","XIMENA M. BISHOP","CRAIG CONOVER","CRAIG JENSEN","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","DALE WATSON"
"SP1512","MICHAEL SNELSON","CRAIG JENSEN","CRAIG CONOVER","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","AMANDA MILLER","DALE WATSON"
"SP1513","CRAIG CONOVER","XIMENA M. BISHOP","MICHAEL SNELSON","AMANDA MILLER","CRAIG JENSEN","DALE WATSON","MARCIA CONOVER-HARRIS"
"SP1514","MICHAEL SNELSON","skipped","skipped","skipped","skipped","skipped","skipped"
"SP1515","CRAIG CONOVER","MICHAEL SNELSON","CRAIG JENSEN","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","AMANDA MILLER","DALE WATSON"
"SP1516","MICHAEL SNELSON","XIMENA M. BISHOP","CRAIG CONOVER","MARCIA CONOVER-HARRIS","DALE WATSON","AMANDA MILLER","CRAIG JENSEN"
"SP1517","MICHAEL SNELSON","skipped","skipped","skipped","skipped","skipped","skipped"
"SP1518","CRAIG CONOVER","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","CRAIG JENSEN","AMANDA MILLER","XIMENA M. BISHOP","DALE WATSON"
"SP1519","MICHAEL SNELSON","AMANDA MILLER","CRAIG JENSEN","CRAIG CONOVER","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","DALE WATSON"
"SP1520","CRAIG JENSEN","CRAIG CONOVER","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","DALE WATSON","XIMENA M. BISHOP","AMANDA MILLER"
"SP1521","CRAIG CONOVER","MARCIA CONOVER-HARRIS","AMANDA MILLER","CRAIG JENSEN","MICHAEL SNELSON","XIMENA M. BISHOP","DALE WATSON"
"SP1522","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","CRAIG CONOVER","MICHAEL SNELSON","CRAIG JENSEN","AMANDA MILLER","DALE WATSON"
"SP1523","AMANDA MILLER","DALE WATSON","CRAIG JENSEN","skipped","skipped","skipped","skipped"
"SP1524","DALE WATSON","MICHAEL SNELSON","AMANDA MILLER","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","CRAIG CONOVER","CRAIG JENSEN"
"SP1525","CRAIG CONOVER","CRAIG JENSEN","MICHAEL SNELSON","DALE WATSON","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","AMANDA MILLER"
"SP1526","CRAIG JENSEN","MICHAEL SNELSON","skipped","skipped","skipped","skipped","skipped"
"SP1527","MARCIA CONOVER-HARRIS","CRAIG CONOVER","XIMENA M. BISHOP","AMANDA MILLER","MICHAEL SNELSON","DALE WATSON","CRAIG JENSEN"
"SP1528","CRAIG JENSEN","XIMENA M. BISHOP","CRAIG CONOVER","MARCIA CONOVER-HARRIS","AMANDA MILLER","MICHAEL SNELSON","DALE WATSON"
"SP1529","CRAIG CONOVER","MARCIA CONOVER-HARRIS","skipped","skipped","skipped","skipped","skipped"
"SP1530","AMANDA MILLER","CRAIG JENSEN","MICHAEL SNELSON","XIMENA M. BISHOP","MICHAEL SNELSON","CRAIG CONOVER","MARCIA CONOVER-HARRIS"
"SP1531","MICHAEL SNELSON","CRAIG JENSEN","CRAIG CONOVER","MARCIA CONOVER-HARRIS","AMANDA MILLER","XIMENA M. BISHOP","DALE WATSON"
"SP1532","CRAIG CONOVER","MARCIA CONOVER-HARRIS","CRAIG JENSEN","MICHAEL SNELSON","DALE WATSON","AMANDA MILLER","XIMENA M. BISHOP"
"SP1533","XIMENA M. BISHOP","overvote","CRAIG JENSEN","CRAIG CONOVER","MARCIA CONOVER-HARRIS","skipped","AMANDA MILLER"
"SP1534","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"SP1535","MICHAEL SNELSON","DALE WATSON","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","CRAIG JENSEN","CRAIG CONOVER","skipped"
"SP1536","DALE WATSON","XIMENA M. BISHOP","MICHAEL SNELSON","CRAIG JENSEN","CRAIG CONOVER","MARCIA CONOVER-HARRIS","AMANDA MILLER"
"SP1537","CRAIG CONOVER","MARCIA CONOVER-HARRIS","skipped","skipped","skipped","skipped","skipped"
"SP1538","DALE WATSON","MICHAEL SNELSON","CRAIG JENSEN","XIMENA M. BISHOP","CRAIG CONOVER","MARCIA CONOVER-HARRIS","AMANDA MILLER"
"SP1539","AMANDA MILLER","XIMENA M. BISHOP","DALE WATSON","MARCIA CONOVER-HARRIS","CRAIG CONOVER","CRAIG JENSEN","MICHAEL SNELSON"
"SP1540","CRAIG CONOVER","DALE WATSON","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","AMANDA MILLER","CRAIG JENSEN","MICHAEL SNELSON"
"SP1541","MICHAEL SNELSON","CRAIG JENSEN","AMANDA MILLER","DALE WATSON","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","CRAIG CONOVER"
"SP1542","CRAIG JENSEN","CRAIG CONOVER","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","DALE WATSON","AMANDA MILLER"
"SP1543","CRAIG CONOVER","XIMENA M. BISHOP","MICHAEL SNELSON","CRAIG JENSEN","AMANDA MILLER","skipped","skipped"
"SP1544","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","CRAIG CONOVER","CRAIG JENSEN","XIMENA M. BISHOP","DALE WATSON","AMANDA MILLER"
"SP1545","MARCIA CONOVER-HARRIS","AMANDA MILLER","CRAIG JENSEN","DALE WATSON","XIMENA M. BISHOP","MICHAEL SNELSON","CRAIG CONOVER"
"SP1546","DALE WATSON","AMANDA MILLER","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","CRAIG JENSEN","CRAIG CONOVER","MICHAEL SNELSON"
"SP1547","CRAIG CONOVER","CRAIG JENSEN","MARCIA CONOVER-HARRIS","AMANDA MILLER","MICHAEL SNELSON","XIMENA M. BISHOP","DALE WATSON"
"SP1548","MICHAEL SNELSON","CRAIG JENSEN","XIMENA M. BISHOP","DALE WATSON","AMANDA MILLER","CRAIG CONOVER","MARCIA CONOVER-HARRIS"
"SP1549","MICHAEL SNELSON","CRAIG JENSEN","CRAIG CONOVER","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","DALE WATSON","AMANDA MILLER"
"SP1550","CRAIG JENSEN","MICHAEL SNELSON","CRAIG CONOVER","skipped","skipped","skipped","skipped"
"SP1551","CRAIG CONOVER","XIMENA M. BISHOP","CRAIG JENSEN","AMANDA MILLER","CRAIG CONOVER","MARCIA CONOVER-HARRIS","MICHAEL SNELSON"
"SP1552","MICHAEL SNELSON","CRAIG CONOVER","CRAIG JENSEN","MARCIA CONOVER-HARRIS","DALE WATSON","AMANDA MILLER","XIMENA M. BISHOP"
"SP1553","XIMENA M. BISHOP","CRAIG CONOVER","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","CRAIG JENSEN","AMANDA MILLER","DALE WATSON"
"SP1554","CRAIG CONOVER","XIMENA M. BISHOP","CRAIG JENSEN","DALE WATSON","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","AMANDA MILLER"
"SP1555","MARCIA CONOVER-HARRIS","DALE WATSON","CRAIG CONOVER","CRAIG JENSEN","AMANDA MILLER","MICHAEL SNELSON","skipped"
"SP1556","MARCIA CONOVER-HARRIS","CRAIG CONOVER","XIMENA M. BISHOP","DALE WATSON","MICHAEL SNELSON","CRAIG JENSEN","AMANDA MILLER"
"SP1557","AMANDA MILLER","skipped","skipped","skipped","skipped","skipped","skipped"
"SP1558","MICHAEL SNELSON","CRAIG JENSEN","CRAIG CONOVER","skipped","skipped","skipped","skipped"
"SP1559","MICHAEL SNELSON","CRAIG JENSEN","CRAIG CONOVER","MARCIA CONOVER-HARRIS","AMANDA MILLER","DALE WATSON","XIMENA M. BISHOP"
"SP1560","CRAIG JENSEN","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","AMANDA MILLER","CRAIG CONOVER","DALE WATSON"
"SP1561","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","CRAIG CONOVER","DALE WATSON","MICHAEL SNELSON","CRAIG JENSEN","AMANDA MILLER"
"SP1562","XIMENA M. BISHOP","CRAIG CONOVER","MARCIA CONOVER-HARRIS","CRAIG JENSEN","MICHAEL SNELSON","AMANDA MILLER","DALE WATSON"
"SP1563","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","CRAIG CONOVER","MICHAEL SNELSON","CRAIG JENSEN","DALE WATSON","AMANDA MILLER"
"SP1564","MICHAEL SNELSON","CRAIG CONOVER","MARCIA CONOVER-HARRIS","AMANDA MILLER","XIMENA M. BISHOP","CRAIG JENSEN","DALE WATSON"
"SP1565","CRAIG JENSEN","MARCIA CONOVER-HARRIS","DALE WATSON","MICHAEL SNELSON","XIMENA M. BISHOP","AMANDA MILLER","CRAIG CONOVER"
"SP1566","MARCIA CONOVER-HARRIS","CRAIG CONOVER","MICHAEL SNELSON","AMANDA MILLER","XIMENA M. BISHOP","CRAIG JENSEN","DALE WATSON"
"SP1567","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","CRAIG CONOVER","MICHAEL SNELSON","CRAIG JENSEN","AMANDA MILLER","DALE WATSON"
"SP1568","DALE WATSON","AMANDA MILLER","CRAIG JENSEN","CRAIG CONOVER","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","MICHAEL SNELSON"
"SP1569","MICHAEL SNELSON","CRAIG CONOVER","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","CRAIG JENSEN","skipped","skipped"
"SP1570","DALE WATSON","CRAIG JENSEN","AMANDA MILLER","CRAIG CONOVER","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP"
"SP1571","MICHAEL SNELSON","CRAIG CONOVER","skipped","skipped","skipped","skipped","skipped"
"SP1572","DALE WATSON","AMANDA MILLER","CRAIG CONOVER","CRAIG JENSEN","MICHAEL SNELSON","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS"
"SP1573","MICHAEL SNELSON","CRAIG CONOVER","skipped","skipped","skipped","skipped","skipped"
"SP1574","XIMENA M. BISHOP","CRAIG JENSEN","CRAIG CONOVER","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","AMANDA MILLER","DALE WATSON"
"SP1575","MARCIA CONOVER-HARRIS","AMANDA MILLER","XIMENA M. BISHOP","CRAIG CONOVER","CRAIG JENSEN","DALE WATSON","MICHAEL SNELSON"
"SP1576","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"SP1577","CRAIG JENSEN","XIMENA M. BISHOP","CRAIG CONOVER","MARCIA CONOVER-HARRIS","AMANDA MILLER","DALE WATSON","MICHAEL SNELSON"
"SP1578","MICHAEL SNELSON","DALE WATSON","XIMENA M. BISHOP","CRAIG CONOVER","AMANDA MILLER","MARCIA CONOVER-HARRIS","CRAIG JENSEN"
"SP1579","CRAIG JENSEN","AMANDA MILLER","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","CRAIG CONOVER","DALE WATSON","MICHAEL SNELSON"
"SP1580","MICHAEL SNELSON","skipped","skipped","skipped","skipped","skipped","skipped"
"SP1581","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","MICHAEL SNELSON","CRAIG CONOVER","AMANDA MILLER","CRAIG JENSEN","DALE WATSON"
"SP1582","MICHAEL SNELSON","CRAIG JENSEN","CRAIG CONOVER","DALE WATSON","skipped","skipped","skipped"
"SP1583","MICHAEL SNELSON","CRAIG CONOVER","XIMENA M. BISHOP","CRAIG JENSEN","DALE WATSON","AMANDA MILLER","MARCIA CONOVER-HARRIS"
"SP1584","CRAIG CONOVER","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","CRAIG JENSEN","XIMENA M. BISHOP","DALE WATSON","AMANDA MILLER"
"SP1585","MARCIA CONOVER-HARRIS","CRAIG JENSEN","CRAIG CONOVER","MICHAEL SNELSON","XIMENA M. BISHOP","DALE WATSON","AMANDA MILLER"
"SP1586","XIMENA M. BISHOP","CRAIG JENSEN","MARCIA CONOVER-HARRIS","DALE WATSON","MICHAEL SNELSON","CRAIG CONOVER","AMANDA MILLER"
"SP1587","CRAIG CONOVER","MICHAEL SNELSON","CRAIG JENSEN","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","DALE WATSON","AMANDA MILLER"
"SP1588","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","MICHAEL SNELSON","DALE WATSON","AMANDA MILLER","CRAIG JENSEN","CRAIG CONOVER"
"SP1589","AMANDA MILLER","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","skipped","skipped","skipped","skipped"
"SP1590","AMANDA MILLER","skipped","skipped","skipped","skipped","skipped","skipped"
"SP1591","MICHAEL SNELSON","CRAIG JENSEN","CRAIG CONOVER","XIMENA M. BISHOP","MARCIA CONOVER-HARRIS","DALE WATSON","AMANDA MILLER"
"SP1592","AMANDA MILLER","skipped","skipped","skipped","skipped","skipped","skipped"
"SP1593","MICHAEL SNELSON","CRAIG JENSEN","skipped","skipped","skipped","skipped","skipped"
"SP1594","MARCIA CONOVER-HARRIS","CRAIG CONOVER","XIMENA M. BISHOP","DALE WATSON","CRAIG JENSEN","AMANDA MILLER","DALE WATSON"
"SP1595","CRAIG JENSEN","XIMENA M. BISHOP","CRAIG CONOVER","DALE WATSON","MICHAEL SNELSON","MARCIA CONOVER-HARRIS","AMANDA MILLER"
"SP1596","MICHAEL SNELSON","CRAIG JENSEN","skipped","skipped","skipped","skipped","skipped"
"SP1597","CRAIG CONOVER","XIMENA M. BISHOP","MICHAEL SNELSON","CRAIG JENSEN","MARCIA CONOVER-HARRIS","AMANDA MILLER","DALE WATSON"
"SP1598","MARCIA CONOVER-HARRIS","XIMENA M. BISHOP","MICHAEL SNELSON","CRAIG JENSEN","CRAIG CONOVER","AMANDA MILLER","DALE WATSON"
