"Index","rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9"
"LE01","CAMI PURTSCHERT","ETHAN M. ERICKSON","AARON BULLEN","NICOLE KUNZE","LORI MCINTOSH LE","MICHELLE MILES","PAUL HANCOCK","MONTANE C HAMILTON","CHRIS CONDIE"
"LE02","AARON BULLEN","ETHAN M. ERICKSON","CAMI PURTSCHERT","MICHELLE MILES","LORI MCINTOSH LE","MONTANE C HAMILTON","NICOLE KUNZE","PAUL HANCOCK","CHRIS CONDIE"
"LE03","overvote","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE04","PAUL HANCOCK","LORI MCINTOSH LE","CHRIS CONDIE","AARON BULLEN","MICHELLE MILES","NICOLE KUNZE","CAMI PURTSCHERT","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE05","NICOLE KUNZE","CAMI PURTSCHERT","LORI MCINTOSH LE","MICHELLE MILES","PAUL HANCOCK","MONTANE C HAMILTON","CHRIS CONDIE","ETHAN M. ERICKSON","AARON BULLEN"
"LE06","CAMI PURTSCHERT","AARON BULLEN","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped","skipped"
"LE07","PAUL HANCOCK","NICOLE KUNZE","CAMI PURTSCHERT","CHRIS CONDIE","LORI MCINTOSH LE","MONTANE C HAMILTON","AARON BULLEN","MICHELLE MILES","ETHAN M. ERICKSON"
"LE08","MICHELLE MILES","AARON BULLEN","CHRIS CONDIE","skipped","skipped","skipped","skipped","skipped","skipped"
"LE09","CHRIS CONDIE","LORI MCINTOSH LE","PAUL HANCOCK","CAMI PURTSCHERT","NICOLE KUNZE","MONTANE C HAMILTON","AARON BULLEN","MICHELLE MILES","ETHAN M. ERICKSON"
"LE10","CHRIS CONDIE","PAUL HANCOCK","CAMI PURTSCHERT","MICHELLE MILES","ETHAN M. ERICKSON","NICOLE KUNZE","LORI MCINTOSH LE","AARON BULLEN","MONTANE C HAMILTON"
"LE11","NICOLE KUNZE","PAUL HANCOCK","CHRIS CONDIE","MONTANE C HAMILTON","AARON BULLEN","LORI MCINTOSH LE","CAMI PURTSCHERT","MICHELLE MILES","ETHAN M. ERICKSON"
"LE12","AARON BULLEN","CHRIS CONDIE","PAUL HANCOCK","MONTANE C HAMILTON","LORI MCINTOSH LE","NICOLE KUNZE","ETHAN M. ERICKSON","MICHELLE MILES","CAMI PURTSCHERT"
"LE13","AARON BULLEN","MICHELLE MILES","NICOLE KUNZE","LORI MCINTOSH LE","MONTANE C HAMILTON","CHRIS CONDIE","PAUL HANCOCK","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE14","NICOLE KUNZE","LORI MCINTOSH LE","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE15","PAUL HANCOCK","NICOLE KUNZE","MICHELLE MILES","AARON BULLEN","CHRIS CONDIE","LORI MCINTOSH LE","CAMI PURTSCHERT","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE16","LORI MCINTOSH LE","MICHELLE MILES","CAMI PURTSCHERT","CHRIS CONDIE","ETHAN M. ERICKSON","skipped","skipped","skipped","skipped"
"LE17","PAUL HANCOCK","CHRIS CONDIE","NICOLE KUNZE","LORI MCINTOSH LE","MICHELLE MILES","CAMI PURTSCHERT","AARON BULLEN","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE18","AARON BULLEN","MICHELLE MILES","CHRIS CONDIE","NICOLE KUNZE","PAUL HANCOCK","MONTANE C HAMILTON","LORI MCINTOSH LE","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE19","CAMI PURTSCHERT","NICOLE KUNZE","ETHAN M. ERICKSON","AARON BULLEN","MICHELLE MILES","skipped","skipped","skipped","skipped"
"LE20","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE21","ETHAN M. ERICKSON","CHRIS CONDIE","PAUL HANCOCK","LORI MCINTOSH LE","NICOLE KUNZE","CAMI PURTSCHERT","AARON BULLEN","MICHELLE MILES","MONTANE C HAMILTON"
"LE22","PAUL HANCOCK","CHRIS CONDIE","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK","NICOLE KUNZE","PAUL HANCOCK","CHRIS CONDIE","NICOLE KUNZE"
"LE23","PAUL HANCOCK","CHRIS CONDIE","AARON BULLEN","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped"
"LE24","AARON BULLEN","CAMI PURTSCHERT","ETHAN M. ERICKSON","CHRIS CONDIE","MICHELLE MILES","PAUL HANCOCK","NICOLE KUNZE","MONTANE C HAMILTON","LORI MCINTOSH LE"
"LE25","CAMI PURTSCHERT","ETHAN M. ERICKSON","PAUL HANCOCK","AARON BULLEN","NICOLE KUNZE","CHRIS CONDIE","MICHELLE MILES","LORI MCINTOSH LE","MONTANE C HAMILTON"
"LE26","LORI MCINTOSH LE","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE27","AARON BULLEN","MICHELLE MILES","CHRIS CONDIE","skipped","skipped","skipped","skipped","skipped","skipped"
"LE28","PAUL HANCOCK","MONTANE C HAMILTON","CHRIS CONDIE","LORI MCINTOSH LE","CAMI PURTSCHERT","NICOLE KUNZE","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON"
"LE29","ETHAN M. ERICKSON","NICOLE KUNZE","CAMI PURTSCHERT","MICHELLE MILES","MONTANE C HAMILTON","LORI MCINTOSH LE","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK"
"LE30","CHRIS CONDIE","AARON BULLEN","LORI MCINTOSH LE","PAUL HANCOCK","MICHELLE MILES","NICOLE KUNZE","ETHAN M. ERICKSON","MONTANE C HAMILTON","CAMI PURTSCHERT"
"LE31","CAMI PURTSCHERT","LORI MCINTOSH LE","MICHELLE MILES","NICOLE KUNZE","PAUL HANCOCK","MONTANE C HAMILTON","CHRIS CONDIE","AARON BULLEN","ETHAN M. ERICKSON"
"LE32","CAMI PURTSCHERT","LORI MCINTOSH LE","PAUL HANCOCK","AARON BULLEN","MONTANE C HAMILTON","NICOLE KUNZE","skipped","skipped","skipped"
"LE33","PAUL HANCOCK","CAMI PURTSCHERT","NICOLE KUNZE","CHRIS CONDIE","AARON BULLEN","MICHELLE MILES","LORI MCINTOSH LE","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE34","MICHELLE MILES","AARON BULLEN","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE35","AARON BULLEN","ETHAN M. ERICKSON","CAMI PURTSCHERT","NICOLE KUNZE","MICHELLE MILES","LORI MCINTOSH LE","MONTANE C HAMILTON","CHRIS CONDIE","PAUL HANCOCK"
"LE36","CHRIS CONDIE","PAUL HANCOCK","ETHAN M. ERICKSON","NICOLE KUNZE","LORI MCINTOSH LE","AARON BULLEN","CAMI PURTSCHERT","MICHELLE MILES","MONTANE C HAMILTON"
"LE37","PAUL HANCOCK","NICOLE KUNZE","MICHELLE MILES","AARON BULLEN","CHRIS CONDIE","LORI MCINTOSH LE","MONTANE C HAMILTON","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE38","NICOLE KUNZE","MICHELLE MILES","AARON BULLEN","LORI MCINTOSH LE","MONTANE C HAMILTON","CAMI PURTSCHERT","PAUL HANCOCK","CHRIS CONDIE","ETHAN M. ERICKSON"
"LE39","PAUL HANCOCK","NICOLE KUNZE","MICHELLE MILES","AARON BULLEN","CHRIS CONDIE","LORI MCINTOSH LE","CAMI PURTSCHERT","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE40","CAMI PURTSCHERT","CHRIS CONDIE","LORI MCINTOSH LE","MICHELLE MILES","MONTANE C HAMILTON","NICOLE KUNZE","AARON BULLEN","NICOLE KUNZE","ETHAN M. ERICKSON"
"LE41","NICOLE KUNZE","PAUL HANCOCK","CHRIS CONDIE","LORI MCINTOSH LE","MONTANE C HAMILTON","skipped","skipped","skipped","skipped"
"LE42","MONTANE C HAMILTON","CAMI PURTSCHERT","NICOLE KUNZE","PAUL HANCOCK","CHRIS CONDIE","AARON BULLEN","MICHELLE MILES","LORI MCINTOSH LE","ETHAN M. ERICKSON"
"LE43","CHRIS CONDIE","PAUL HANCOCK","AARON BULLEN","NICOLE KUNZE","MICHELLE MILES","LORI MCINTOSH LE","MONTANE C HAMILTON","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE44","MICHELLE MILES","AARON BULLEN","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE45","LORI MCINTOSH LE","MICHELLE MILES","CAMI PURTSCHERT","NICOLE KUNZE","MONTANE C HAMILTON","AARON BULLEN","ETHAN M. ERICKSON","CHRIS CONDIE","PAUL HANCOCK"
"LE46","MICHELLE MILES","MONTANE C HAMILTON","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE47","PAUL HANCOCK","CHRIS CONDIE","LORI MCINTOSH LE","NICOLE KUNZE","skipped","skipped","skipped","skipped","skipped"
"LE48","PAUL HANCOCK","LORI MCINTOSH LE","MONTANE C HAMILTON","NICOLE KUNZE","CHRIS CONDIE","MICHELLE MILES","skipped","skipped","skipped"
"LE49","PAUL HANCOCK","MICHELLE MILES","AARON BULLEN","NICOLE KUNZE","LORI MCINTOSH LE","CHRIS CONDIE","MONTANE C HAMILTON","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE50","NICOLE KUNZE","LORI MCINTOSH LE","CHRIS CONDIE","PAUL HANCOCK","AARON BULLEN","CAMI PURTSCHERT","MONTANE C HAMILTON","MICHELLE MILES","ETHAN M. ERICKSON"
"LE51","PAUL HANCOCK","MONTANE C HAMILTON","LORI MCINTOSH LE","MICHELLE MILES","CHRIS CONDIE","CAMI PURTSCHERT","ETHAN M. ERICKSON","NICOLE KUNZE","AARON BULLEN"
"LE52","NICOLE KUNZE","LORI MCINTOSH LE","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE53","AARON BULLEN","CHRIS CONDIE","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped","skipped"
"LE54","PAUL HANCOCK","LORI MCINTOSH LE","CHRIS CONDIE","NICOLE KUNZE","AARON BULLEN","MICHELLE MILES","CAMI PURTSCHERT","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE55","MICHELLE MILES","AARON BULLEN","CAMI PURTSCHERT","NICOLE KUNZE","CHRIS CONDIE","MONTANE C HAMILTON","PAUL HANCOCK","ETHAN M. ERICKSON","LORI MCINTOSH LE"
"LE56","PAUL HANCOCK","CHRIS CONDIE","CAMI PURTSCHERT","LORI MCINTOSH LE","skipped","skipped","skipped","skipped","skipped"
"LE57","LORI MCINTOSH LE","CHRIS CONDIE","AARON BULLEN","ETHAN M. ERICKSON","MICHELLE MILES","CAMI PURTSCHERT","NICOLE KUNZE","PAUL HANCOCK","MONTANE C HAMILTON"
"LE58","CAMI PURTSCHERT","MONTANE C HAMILTON","CHRIS CONDIE","PAUL HANCOCK","AARON BULLEN","LORI MCINTOSH LE","NICOLE KUNZE","MICHELLE MILES","ETHAN M. ERICKSON"
"LE59","PAUL HANCOCK","CHRIS CONDIE","LORI MCINTOSH LE","AARON BULLEN","NICOLE KUNZE","MICHELLE MILES","MONTANE C HAMILTON","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE60","CHRIS CONDIE","PAUL HANCOCK","LORI MCINTOSH LE","CAMI PURTSCHERT","NICOLE KUNZE","ETHAN M. ERICKSON","AARON BULLEN","MONTANE C HAMILTON","MICHELLE MILES"
"LE61","PAUL HANCOCK","CAMI PURTSCHERT","LORI MCINTOSH LE","CHRIS CONDIE","AARON BULLEN","NICOLE KUNZE","MICHELLE MILES","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE62","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK","MONTANE C HAMILTON","AARON BULLEN","skipped","skipped","skipped","skipped"
"LE63","PAUL HANCOCK","LORI MCINTOSH LE","MONTANE C HAMILTON","NICOLE KUNZE","CAMI PURTSCHERT","CHRIS CONDIE","ETHAN M. ERICKSON","MICHELLE MILES","AARON BULLEN"
"LE64","MICHELLE MILES","AARON BULLEN","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE65","CHRIS CONDIE","PAUL HANCOCK","MONTANE C HAMILTON","LORI MCINTOSH LE","NICOLE KUNZE","AARON BULLEN","CAMI PURTSCHERT","MICHELLE MILES","ETHAN M. ERICKSON"
"LE66","MICHELLE MILES","LORI MCINTOSH LE","AARON BULLEN","CAMI PURTSCHERT","NICOLE KUNZE","CHRIS CONDIE","ETHAN M. ERICKSON","PAUL HANCOCK","MONTANE C HAMILTON"
"LE67","PAUL HANCOCK","MONTANE C HAMILTON","CHRIS CONDIE","LORI MCINTOSH LE","MICHELLE MILES","NICOLE KUNZE","AARON BULLEN","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE68","PAUL HANCOCK","CHRIS CONDIE","MONTANE C HAMILTON","skipped","skipped","skipped","skipped","skipped","skipped"
"LE69","CHRIS CONDIE","NICOLE KUNZE","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped","skipped"
"LE70","CAMI PURTSCHERT","NICOLE KUNZE","MONTANE C HAMILTON","CHRIS CONDIE","PAUL HANCOCK","MICHELLE MILES","LORI MCINTOSH LE","ETHAN M. ERICKSON","AARON BULLEN"
"LE71","CHRIS CONDIE","MONTANE C HAMILTON","PAUL HANCOCK","NICOLE KUNZE","LORI MCINTOSH LE","AARON BULLEN","MICHELLE MILES","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE72","LORI MCINTOSH LE","PAUL HANCOCK","MONTANE C HAMILTON","NICOLE KUNZE","CHRIS CONDIE","CAMI PURTSCHERT","AARON BULLEN","MICHELLE MILES","ETHAN M. ERICKSON"
"LE73","CHRIS CONDIE","AARON BULLEN","MICHELLE MILES","PAUL HANCOCK","NICOLE KUNZE","MONTANE C HAMILTON","LORI MCINTOSH LE","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE74","CHRIS CONDIE","NICOLE KUNZE","PAUL HANCOCK","CAMI PURTSCHERT","AARON BULLEN","LORI MCINTOSH LE","MICHELLE MILES","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE75","NICOLE KUNZE","ETHAN M. ERICKSON","skipped","skipped","skipped","skipped","skipped","skipped","overvote"
"LE76","CAMI PURTSCHERT","MONTANE C HAMILTON","AARON BULLEN","CHRIS CONDIE","PAUL HANCOCK","ETHAN M. ERICKSON","NICOLE KUNZE","MICHELLE MILES","LORI MCINTOSH LE"
"LE77","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK","AARON BULLEN","MICHELLE MILES","CAMI PURTSCHERT","MONTANE C HAMILTON","LORI MCINTOSH LE","ETHAN M. ERICKSON"
"LE78","CHRIS CONDIE","PAUL HANCOCK","AARON BULLEN","LORI MCINTOSH LE","skipped","skipped","skipped","skipped","skipped"
"LE79","MICHELLE MILES","LORI MCINTOSH LE","MONTANE C HAMILTON","NICOLE KUNZE","AARON BULLEN","CHRIS CONDIE","AARON BULLEN","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE80","overvote","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE81","NICOLE KUNZE","MICHELLE MILES","LORI MCINTOSH LE","AARON BULLEN","ETHAN M. ERICKSON","CAMI PURTSCHERT","MONTANE C HAMILTON","CHRIS CONDIE","PAUL HANCOCK"
"LE82","PAUL HANCOCK","CAMI PURTSCHERT","CHRIS CONDIE","LORI MCINTOSH LE","skipped","skipped","skipped","skipped","skipped"
"LE83","CHRIS CONDIE","PAUL HANCOCK","ETHAN M. ERICKSON","NICOLE KUNZE","LORI MCINTOSH LE","AARON BULLEN","CAMI PURTSCHERT","MICHELLE MILES","MONTANE C HAMILTON"
"LE84","MICHELLE MILES","LORI MCINTOSH LE","AARON BULLEN","CAMI PURTSCHERT","NICOLE KUNZE","CHRIS CONDIE","ETHAN M. ERICKSON","PAUL HANCOCK","MONTANE C HAMILTON"
"LE85","PAUL HANCOCK","CHRIS CONDIE","LORI MCINTOSH LE","AARON BULLEN","NICOLE KUNZE","MICHELLE MILES","CAMI PURTSCHERT","ETHAN M. ERICKSON","MONTANE C HAMILTON"
"LE86","MICHELLE MILES","AARON BULLEN","NICOLE KUNZE","skipped","skipped","skipped","skipped","skipped","skipped"
"LE87","CHRIS CONDIE","NICOLE KUNZE","LORI MCINTOSH LE","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped"
"LE88","NICOLE KUNZE","AARON BULLEN","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE89","MICHELLE MILES","AARON BULLEN","MONTANE C HAMILTON","ETHAN M. ERICKSON","CAMI PURTSCHERT","skipped","skipped","skipped","skipped"
"LE90","MONTANE C HAMILTON","LORI MCINTOSH LE","PAUL HANCOCK","NICOLE KUNZE","CHRIS CONDIE","AARON BULLEN","ETHAN M. ERICKSON","MICHELLE MILES","CAMI PURTSCHERT"
"LE91","NICOLE KUNZE","MONTANE C HAMILTON","LORI MCINTOSH LE","PAUL HANCOCK","CHRIS CONDIE","ETHAN M. ERICKSON","CAMI PURTSCHERT","MICHELLE MILES","AARON BULLEN"
"LE92","LORI MCINTOSH LE","CHRIS CONDIE","CAMI PURTSCHERT","NICOLE KUNZE","PAUL HANCOCK","AARON BULLEN","ETHAN M. ERICKSON","MONTANE C HAMILTON","MICHELLE MILES"
"LE93","NICOLE KUNZE","PAUL HANCOCK","LORI MCINTOSH LE","CHRIS CONDIE","MICHELLE MILES","MONTANE C HAMILTON","AARON BULLEN","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE94","NICOLE KUNZE","PAUL HANCOCK","LORI MCINTOSH LE","MICHELLE MILES","CAMI PURTSCHERT","AARON BULLEN","MONTANE C HAMILTON","ETHAN M. ERICKSON","CHRIS CONDIE"
"LE95","NICOLE KUNZE","PAUL HANCOCK","LORI MCINTOSH LE","MICHELLE MILES","CAMI PURTSCHERT","MONTANE C HAMILTON","AARON BULLEN","CHRIS CONDIE","ETHAN M. ERICKSON"
"LE96","MICHELLE MILES","AARON BULLEN","CHRIS CONDIE","NICOLE KUNZE","MONTANE C HAMILTON","ETHAN M. ERICKSON","CAMI PURTSCHERT","PAUL HANCOCK","LORI MCINTOSH LE"
"LE97","AARON BULLEN","CHRIS CONDIE","PAUL HANCOCK","CAMI PURTSCHERT","NICOLE KUNZE","MICHELLE MILES","LORI MCINTOSH LE","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE98","CHRIS CONDIE","NICOLE KUNZE","LORI MCINTOSH LE","PAUL HANCOCK","AARON BULLEN","skipped","skipped","skipped","skipped"
"LE99","CHRIS CONDIE","PAUL HANCOCK","LORI MCINTOSH LE","skipped","skipped","skipped","skipped","skipped","skipped"
"LE100","LORI MCINTOSH LE","CHRIS CONDIE","NICOLE KUNZE","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped"
"LE101","MONTANE C HAMILTON","CAMI PURTSCHERT","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK","MICHELLE MILES","LORI MCINTOSH LE","AARON BULLEN","ETHAN M. ERICKSON"
"LE102","LORI MCINTOSH LE","PAUL HANCOCK","ETHAN M. ERICKSON","MICHELLE MILES","MONTANE C HAMILTON","AARON BULLEN","CHRIS CONDIE","CAMI PURTSCHERT","NICOLE KUNZE"
"LE103","PAUL HANCOCK","LORI MCINTOSH LE","AARON BULLEN","MONTANE C HAMILTON","CAMI PURTSCHERT","NICOLE KUNZE","CHRIS CONDIE","MICHELLE MILES","ETHAN M. ERICKSON"
"LE104","NICOLE KUNZE","CAMI PURTSCHERT","LORI MCINTOSH LE","MONTANE C HAMILTON","PAUL HANCOCK","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON","CHRIS CONDIE"
"LE105","CHRIS CONDIE","NICOLE KUNZE","PAUL HANCOCK","LORI MCINTOSH LE","skipped","skipped","skipped","skipped","skipped"
"LE106","NICOLE KUNZE","PAUL HANCOCK","CHRIS CONDIE","LORI MCINTOSH LE","CAMI PURTSCHERT","AARON BULLEN","ETHAN M. ERICKSON","MICHELLE MILES","MONTANE C HAMILTON"
"LE107","NICOLE KUNZE","LORI MCINTOSH LE","CHRIS CONDIE","PAUL HANCOCK","MICHELLE MILES","CAMI PURTSCHERT","MONTANE C HAMILTON","AARON BULLEN","ETHAN M. ERICKSON"
"LE108","NICOLE KUNZE","PAUL HANCOCK","LORI MCINTOSH LE","CHRIS CONDIE","MICHELLE MILES","AARON BULLEN","MONTANE C HAMILTON","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE109","LORI MCINTOSH LE","MICHELLE MILES","NICOLE KUNZE","CAMI PURTSCHERT","CHRIS CONDIE","PAUL HANCOCK","AARON BULLEN","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE110","AARON BULLEN","MICHELLE MILES","PAUL HANCOCK","CHRIS CONDIE","skipped","skipped","skipped","skipped","skipped"
"LE111","PAUL HANCOCK","MONTANE C HAMILTON","CHRIS CONDIE","NICOLE KUNZE","AARON BULLEN","LORI MCINTOSH LE","MICHELLE MILES","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE112","MICHELLE MILES","AARON BULLEN","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE113","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK","LORI MCINTOSH LE","CAMI PURTSCHERT","AARON BULLEN","MICHELLE MILES","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE114","AARON BULLEN","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE115","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped","skipped"
"LE116","CHRIS CONDIE","PAUL HANCOCK","CAMI PURTSCHERT","LORI MCINTOSH LE","MICHELLE MILES","NICOLE KUNZE","AARON BULLEN","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE117","AARON BULLEN","ETHAN M. ERICKSON","CAMI PURTSCHERT","NICOLE KUNZE","MICHELLE MILES","LORI MCINTOSH LE","MONTANE C HAMILTON","CHRIS CONDIE","PAUL HANCOCK"
"LE118","NICOLE KUNZE","LORI MCINTOSH LE","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped","skipped"
"LE119","AARON BULLEN","LORI MCINTOSH LE","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE120","AARON BULLEN","MICHELLE MILES","NICOLE KUNZE","overvote","MONTANE C HAMILTON","CAMI PURTSCHERT","ETHAN M. ERICKSON","CHRIS CONDIE","PAUL HANCOCK"
"LE121","AARON BULLEN","LORI MCINTOSH LE","skipped","skipped","skipped","skipped","skipped","CHRIS CONDIE","skipped"
"LE122","MICHELLE MILES","AARON BULLEN","NICOLE KUNZE","CAMI PURTSCHERT","MONTANE C HAMILTON","LORI MCINTOSH LE","PAUL HANCOCK","ETHAN M. ERICKSON","ETHAN M. ERICKSON"
"LE123","LORI MCINTOSH LE","CHRIS CONDIE","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped","skipped"
"LE124","PAUL HANCOCK","CHRIS CONDIE","LORI MCINTOSH LE","NICOLE KUNZE","MONTANE C HAMILTON","CAMI PURTSCHERT","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON"
"LE125","CHRIS CONDIE","LORI MCINTOSH LE","PAUL HANCOCK","ETHAN M. ERICKSON","AARON BULLEN","MICHELLE MILES","NICOLE KUNZE","MONTANE C HAMILTON","CAMI PURTSCHERT"
"LE126","MICHELLE MILES","AARON BULLEN","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE127","NICOLE KUNZE","MICHELLE MILES","LORI MCINTOSH LE","CHRIS CONDIE","CAMI PURTSCHERT","AARON BULLEN","PAUL HANCOCK","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE128","CHRIS CONDIE","PAUL HANCOCK","NICOLE KUNZE","skipped","skipped","skipped","skipped","skipped","skipped"
"LE129","AARON BULLEN","MICHELLE MILES","CHRIS CONDIE","skipped","skipped","skipped","skipped","skipped","skipped"
"LE130","CAMI PURTSCHERT","MONTANE C HAMILTON","CHRIS CONDIE","PAUL HANCOCK","AARON BULLEN","LORI MCINTOSH LE","NICOLE KUNZE","MICHELLE MILES","ETHAN M. ERICKSON"
"LE131","LORI MCINTOSH LE","MICHELLE MILES","NICOLE KUNZE","CAMI PURTSCHERT","ETHAN M. ERICKSON","MONTANE C HAMILTON","AARON BULLEN","PAUL HANCOCK","CHRIS CONDIE"
"LE132","ETHAN M. ERICKSON","AARON BULLEN","MICHELLE MILES","MONTANE C HAMILTON","LORI MCINTOSH LE","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK","CAMI PURTSCHERT"
"LE133","CAMI PURTSCHERT","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE134","ETHAN M. ERICKSON","AARON BULLEN","MICHELLE MILES","MONTANE C HAMILTON","LORI MCINTOSH LE","NICOLE KUNZE","CHRIS CONDIE","PAUL HANCOCK","CAMI PURTSCHERT"
"LE135","CAMI PURTSCHERT","NICOLE KUNZE","CHRIS CONDIE","LORI MCINTOSH LE","MICHELLE MILES","AARON BULLEN","PAUL HANCOCK","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE136","NICOLE KUNZE","MICHELLE MILES","AARON BULLEN","LORI MCINTOSH LE","CAMI PURTSCHERT","CHRIS CONDIE","MONTANE C HAMILTON","PAUL HANCOCK","ETHAN M. ERICKSON"
"LE137","PAUL HANCOCK","CHRIS CONDIE","LORI MCINTOSH LE","MICHELLE MILES","NICOLE KUNZE","AARON BULLEN","MONTANE C HAMILTON","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE138","NICOLE KUNZE","MONTANE C HAMILTON","MICHELLE MILES","AARON BULLEN","LORI MCINTOSH LE","CAMI PURTSCHERT","ETHAN M. ERICKSON","CHRIS CONDIE","PAUL HANCOCK"
"LE139","AARON BULLEN","MICHELLE MILES","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE140","PAUL HANCOCK","CAMI PURTSCHERT","CHRIS CONDIE","NICOLE KUNZE","AARON BULLEN","LORI MCINTOSH LE","MONTANE C HAMILTON","MICHELLE MILES","ETHAN M. ERICKSON"
"LE141","MICHELLE MILES","PAUL HANCOCK","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE142","AARON BULLEN","LORI MCINTOSH LE","CHRIS CONDIE","MICHELLE MILES","MONTANE C HAMILTON","PAUL HANCOCK","NICOLE KUNZE","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE143","MICHELLE MILES","AARON BULLEN","NICOLE KUNZE","CHRIS CONDIE","LORI MCINTOSH LE","PAUL HANCOCK","CAMI PURTSCHERT","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE144","CAMI PURTSCHERT","ETHAN M. ERICKSON","NICOLE KUNZE","AARON BULLEN","CHRIS CONDIE","MICHELLE MILES","PAUL HANCOCK","MONTANE C HAMILTON","LORI MCINTOSH LE"
"LE145","NICOLE KUNZE","CHRIS CONDIE","ETHAN M. ERICKSON","MICHELLE MILES","CAMI PURTSCHERT","AARON BULLEN","PAUL HANCOCK","LORI MCINTOSH LE","MONTANE C HAMILTON"
"LE146","PAUL HANCOCK","CHRIS CONDIE","NICOLE KUNZE","LORI MCINTOSH LE","MONTANE C HAMILTON","ETHAN M. ERICKSON","skipped","skipped","skipped"
"LE147","PAUL HANCOCK","CHRIS CONDIE","CAMI PURTSCHERT","MONTANE C HAMILTON","MICHELLE MILES","LORI MCINTOSH LE","NICOLE KUNZE","AARON BULLEN","ETHAN M. ERICKSON"
