"Index","rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9"
"LE6902","CHRIS CONDIE","NICOLE KUNZE","MICHELLE MILES","LORI MCINTOSH LE","CAMI PURTSCHERT","ETHAN M. ERICKSON","AARON BULLEN","PAUL HANCOCK","MONTANE C HAMILTON"
"LE6903","CAMI PURTSCHERT","NICOLE KUNZE","MICHELLE MILES","AARON BULLEN","CHRIS CONDIE","PAUL HANCOCK","LORI MCINTOSH LE","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE6904","PAUL HANCOCK","CHRIS CONDIE","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6905","MICHELLE MILES","CAMI PURTSCHERT","AARON BULLEN","LORI MCINTOSH LE","NICOLE KUNZE","MONTANE C HAMILTON","ETHAN M. ERICKSON","CHRIS CONDIE","PAUL HANCOCK"
"LE6906","PAUL HANCOCK","CHRIS CONDIE","NICOLE KUNZE","MICHELLE MILES","AARON BULLEN","skipped","skipped","skipped","skipped"
"LE6907","AARON BULLEN","MICHELLE MILES","ETHAN M. ERICKSON","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6908","CHRIS CONDIE","AARON BULLEN","PAUL HANCOCK","MONTANE C HAMILTON","LORI MCINTOSH LE","NICOLE KUNZE","MICHELLE MILES","ETHAN M. ERICKSON","CAMI PURTSCHERT"
"LE6909","NICOLE KUNZE","LORI MCINTOSH LE","PAUL HANCOCK","CHRIS CONDIE","MONTANE C HAMILTON","skipped","skipped","skipped","skipped"
"LE6910","MONTANE C HAMILTON","LORI MCINTOSH LE","NICOLE KUNZE","CAMI PURTSCHERT","PAUL HANCOCK","AARON BULLEN","CHRIS CONDIE","ETHAN M. ERICKSON","MICHELLE MILES"
"LE6911","AARON BULLEN","MICHELLE MILES","PAUL HANCOCK","CHRIS CONDIE","skipped","skipped","skipped","skipped","skipped"
"LE6912","MONTANE C HAMILTON","PAUL HANCOCK","CHRIS CONDIE","CAMI PURTSCHERT","NICOLE KUNZE","LORI MCINTOSH LE","AARON BULLEN","MICHELLE MILES","ETHAN M. ERICKSON"
"LE6913","MONTANE C HAMILTON","PAUL HANCOCK","ETHAN M. ERICKSON","NICOLE KUNZE","LORI MCINTOSH LE","CHRIS CONDIE","AARON BULLEN","MICHELLE MILES","CAMI PURTSCHERT"
"LE6914","MICHELLE MILES","AARON BULLEN","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6915","LORI MCINTOSH LE","MICHELLE MILES","PAUL HANCOCK","NICOLE KUNZE","CHRIS CONDIE","AARON BULLEN","CAMI PURTSCHERT","MONTANE C HAMILTON","ETHAN M. ERICKSON"
"LE6916","MICHELLE MILES","AARON BULLEN","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6917","MICHELLE MILES","ETHAN M. ERICKSON","LORI MCINTOSH LE","AARON BULLEN","MONTANE C HAMILTON","PAUL HANCOCK","CHRIS CONDIE","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE6918","CHRIS CONDIE","PAUL HANCOCK","NICOLE KUNZE","LORI MCINTOSH LE","CAMI PURTSCHERT","MONTANE C HAMILTON","MICHELLE MILES","AARON BULLEN","ETHAN M. ERICKSON"
"LE6919","CHRIS CONDIE","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6920","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped"
"LE6921","CAMI PURTSCHERT","CHRIS CONDIE","NICOLE KUNZE","LORI MCINTOSH LE","AARON BULLEN","MONTANE C HAMILTON","PAUL HANCOCK","MICHELLE MILES","ETHAN M. ERICKSON"
"LE6922","MONTANE C HAMILTON","CHRIS CONDIE","ETHAN M. ERICKSON","NICOLE KUNZE","AARON BULLEN","CAMI PURTSCHERT","PAUL HANCOCK","LORI MCINTOSH LE","MICHELLE MILES"
"LE6923","CHRIS CONDIE","NICOLE KUNZE","PAUL HANCOCK","AARON BULLEN","LORI MCINTOSH LE","MICHELLE MILES","MONTANE C HAMILTON","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE6924","CHRIS CONDIE","AARON BULLEN","NICOLE KUNZE","MICHELLE MILES","LORI MCINTOSH LE","MONTANE C HAMILTON","PAUL HANCOCK","CAMI PURTSCHERT","ETHAN M. ERICKSON"
"LE6925","CHRIS CONDIE","PAUL HANCOCK","AARON BULLEN","MICHELLE MILES","ETHAN M. ERICKSON","MONTANE C HAMILTON","NICOLE KUNZE","LORI MCINTOSH LE","CAMI PURTSCHERT"
"LE6926","NICOLE KUNZE","PAUL HANCOCK","MONTANE C HAMILTON","CHRIS CONDIE","AARON BULLEN","MICHELLE MILES","CAMI PURTSCHERT","LORI MCINTOSH LE","ETHAN M. ERICKSON"
"LE6927","LORI MCINTOSH LE","MONTANE C HAMILTON","CAMI PURTSCHERT","NICOLE KUNZE","AARON BULLEN","MICHELLE MILES","CHRIS CONDIE","PAUL HANCOCK","ETHAN M. ERICKSON"
